danceability,energy,loudness,tempo,valence,cluster,PCA1,PCA2
0.532,0.842,-6.152,126.042,0.715,1,1.0556025159874496,-0.2608967277591495
0.575,0.75,-6.476,156.093,0.754,1,1.0267806386429292,-0.3578800992475979
0.582,0.397,-10.582,170.031,0.531,0,-0.652273158491693,-0.06474223571124446
0.586,0.556,-7.639,167.018,0.517,1,0.0659875966816078,-0.5033909891690161
0.397,0.884,-7.859,135.16,0.528,1,0.30894520352182003,-1.0823149029233832
0.816,0.776,-4.405,94.996,0.704,1,1.7092274332714839,1.066362929835551
0.757,0.571,-4.547,159.933,0.538,1,0.9152694134551619,-0.07906824311454287
0.683,0.975,-3.48,103.026,0.745,1,2.05989830860707,0.20970849452763943
0.501,0.59,-14.044,145.114,0.944,1,-0.16539936344252845,0.7317364581222101
0.742,0.943,-3.726,130.02,0.881,1,2.3789345753805486,0.27533231827991383
0.616,0.706,-6.846,89.995,0.655,1,0.6808917479835604,0.7292319979158585
0.475,0.957,-5.193,92.499,0.24,1,0.41451038374926186,-0.9818470462395938
0.705,0.562,-3.378,163.893,0.569,1,0.9866797749603597,-0.32527267283847167
0.593,0.289,-11.049,77.119,0.733,1,-0.7452160292744868,1.9682323171745337
0.437,0.565,-5.596,115.389,0.306,0,-0.457928110490354,-0.6951352090725519
0.634,0.775,-6.943,84.972,0.653,1,0.8540413471047623,0.7588519165665153
0.316,0.887,-9.173,135.777,0.627,1,0.13520119110254059,-1.0821030156271865
0.885,0.806,-6.408,110.943,0.748,1,1.785087692180774,1.2136753391415265
0.683,0.643,-7.425,107.027,0.771,1,0.8521345173297757,1.0152533730556312
0.705,0.637,-7.367,127.656,0.819,1,1.0180876323355916,0.8497753993358388
0.807,0.803,-4.156,91.982,0.706,1,1.7798576628022018,1.0269940374787743
0.532,0.495,-6.662,124.936,0.308,0,-0.5141615011852607,-0.3512615736147183
0.465,0.844,-4.352,170.358,0.155,0,0.23408689078341136,-2.2566435029583385
0.819,0.645,-6.707,94.998,0.724,1,1.1581059618758136,1.4912970804716243
0.132,0.417,-8.597,80.137,0.0717,0,-2.357008333636947,-1.0406008782624907
0.477,0.0489,-17.039,200.082,0.356,0,-2.766927399799142,-0.12148392139096056
0.565,0.403,-12.425,109.62,0.48,0,-1.1129488551397246,0.8664519002628338
